,Station Name,Air Temperature
49242,Foster Weather Station,19.28
49243,63rd Street Weather Station,22.5
49244,Oak Street Weather Station,22.8
49245,Foster Weather Station,18.56
49246,63rd Street Weather Station,23.0
49247,Oak Street Weather Station,22.2
49248,Foster Weather Station,19.17
49249,63rd Street Weather Station,26.9
49250,Oak Street Weather Station,27.0
49251,Foster Weather Station,20.5
49252,63rd Street Weather Station,28.1
49253,Oak Street Weather Station,28.5
49254,63rd Street Weather Station,29.2
49255,Oak Street Weather Station,28.0
49256,Foster Weather Station,24.89
49257,63rd Street Weather Station,25.0
49258,Oak Street Weather Station,28.1
49259,Foster Weather Station,23.78
49260,63rd Street Weather Station,24.9
49261,Oak Street Weather Station,28.1
49262,Foster Weather Station,24.5
49263,63rd Street Weather Station,25.8
49264,Oak Street Weather Station,29.0
49265,Foster Weather Station,26.28
49266,63rd Street Weather Station,21.8
49267,Oak Street Weather Station,24.9
49268,Foster Weather Station,24.06
49269,63rd Street Weather Station,25.4
49270,Oak Street Weather Station,26.0
49271,Foster Weather Station,20.39
49272,63rd Street Weather Station,24.5
49273,Oak Street Weather Station,22.4
49274,Foster Weather Station,20.5
49275,63rd Street Weather Station,22.6
49276,Oak Street Weather Station,21.9
49277,Foster Weather Station,20.89
49278,63rd Street Weather Station,20.8
49279,Oak Street Weather Station,21.4
49280,Foster Weather Station,20.17
49281,63rd Street Weather Station,19.6
49282,Oak Street Weather Station,20.7
49283,Foster Weather Station,19.5
49284,63rd Street Weather Station,21.1
49285,Oak Street Weather Station,20.9
49286,Foster Weather Station,19.67
49287,63rd Street Weather Station,21.3
49288,Oak Street Weather Station,22.2
49289,Foster Weather Station,20.56
49290,63rd Street Weather Station,21.1
49291,Oak Street Weather Station,23.4
49292,Foster Weather Station,21.56
49293,63rd Street Weather Station,21.2
49294,Oak Street Weather Station,23.8
49295,Foster Weather Station,21.56
49296,63rd Street Weather Station,21.6
49297,Oak Street Weather Station,22.8
49298,Foster Weather Station,21.39
49299,63rd Street Weather Station,21.8
49300,Oak Street Weather Station,22.4
49301,Foster Weather Station,21.5
49302,63rd Street Weather Station,21.7
49303,Oak Street Weather Station,22.4
49304,Foster Weather Station,21.17
49305,63rd Street Weather Station,21.7
49306,Oak Street Weather Station,22.3
49307,Foster Weather Station,21.17
49308,63rd Street Weather Station,22.7
49309,Oak Street Weather Station,24.0
49310,Foster Weather Station,22.28
49311,63rd Street Weather Station,28.5
49312,Oak Street Weather Station,28.8
49313,Foster Weather Station,28.28
49314,63rd Street Weather Station,23.7
49315,Oak Street Weather Station,27.8
49316,Foster Weather Station,24.28
49317,63rd Street Weather Station,25.5
49318,Oak Street Weather Station,27.1
49319,63rd Street Weather Station,22.3
49320,Oak Street Weather Station,22.3
49321,Foster Weather Station,21.28
49322,63rd Street Weather Station,22.1
49323,Oak Street Weather Station,22.7
